subjid,gameid,b,age,set,ha,pha,la,lotnuma,hb,phb,lb,lotnumb,amb,corr,order,trial,payoff,forgone,block,eva,evb,skewa,skewb,dominance,hapwa,lapwa,hapwb,lapwb,Gender,Location,Condition,ShapeA,ShapeB,diffev,predicted_class1,predicted_class2
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,1,-37,20,1,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,1,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,2,20,-37,1,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,1,0
60004,151,1,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,3,20,21,1,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,1
60004,151,1,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,4,20,21,1,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,5,-37,20,1,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,6,-37,20,2,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,1,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,7,20,21,2,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,1,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,8,20,21,2,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,9,35,20,2,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,10,23,20,2,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,11,83,20,3,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,12,21,20,3,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,13,21,20,3,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,14,-37,20,3,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,15,21,20,3,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,16,-37,20,4,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
60004,151,0,23,6,27,0.80000001,-37,7,28,0.0099999998,20,3,0,0,2,17,35,20,4,14.2,20.08,0.31596988,9.9667168,1,0.025,0.1,0.0049999999,0.495,1,1,1,3,4,-5.8800001,0,0
