subjid,gameid,b,age,set,ha,pha,la,lotnuma,hb,phb,lb,lotnumb,amb,corr,order,trial,payoff,forgone,rt,feedback,block,eva,evb,skewa,skewb,dominance,hapwa,lapwa,hapwb,lapwb,relativeorder,Gender,Location,Condition,ShapeA,ShapeB,diffev,change_reactiontime,behavior_change_af
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,1,-37,20,10467,0,1,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-1432,0
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,2,20,-37,5992,0,1,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-4475,0
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,3,20,21,1358,0,1,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-4634,0
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,4,20,21,1076,0,1,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-282,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,5,-37,20,4739,0,1,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,3663,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,6,-37,20,1545,1,2,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,28.75,1
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,7,20,21,1084,1,2,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-461,1
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,8,20,21,2531,1,2,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,1447,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,9,35,20,1319,1,2,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-1212,1
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,10,23,20,1660,1,2,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,341,0
