subjid,gameid,b1,b2,b3,b4,b5,B11,B21,B12,B22,B13,B23,B14,B24,B15,B25
60004,151,.60000002,.40000001,0,.60000002,.2,.2,.2,0,0,0,0,0,.2,0,0
60004,153,.40000001,.60000002,.60000002,.40000001,.60000002,0,.2,.2,0,0,.2,0,0,0,0
60004,156,.80000001,1,1,1,1,.80000001,.40000001,1,0,1,0,1,0,.60000002,0
60004,162,.80000001,.40000001,.80000001,.40000001,.40000001,0,.2,0,0,0,0,0,0,.40000001,0
60004,163,.80000001,.2,0,.40000001,0,0,.2,0,0,0,0,0,0,0,0
60006,160,0,.2,.60000002,1,1,0,.2,0,.40000001,0,0,0,0,0,0
60006,162,1,1,1,1,1,0,.40000001,0,0,0,0,0,0,.80000001,.2
60006,171,1,1,1,1,1,1,.2,.80000001,0,0,0,.40000001,.2,.60000002,0
60006,172,0,.80000001,.2,1,.2,0,.2,0,0,0,0,.40000001,0,0,0
60006,176,1,1,1,1,1,1,.2,1,0,.60000002,0,.80000001,0,.40000001,.2
60034,154,.2,0,0,0,0,.2,.2,0,.2,0,0,0,0,0,0
60034,165,1,1,.80000001,1,1,0,.2,0,0,0,0,0,0,0,0
60034,169,1,1,1,1,1,1,.2,0,0,.2,0,.2,0,0,0
60034,171,0,0,.40000001,0,0,0,.2,0,0,.40000001,0,0,0,0,0
60034,178,1,1,.60000002,.80000001,1,1,.40000001,1,0,.60000002,0,.80000001,0,1,0
60044,154,1,1,.2,.2,1,1,.40000001,.80000001,0,.2,0,.2,0,1,0
60044,157,1,1,1,1,1,0,.40000001,.2,0,.60000002,0,.60000002,0,0,0
60044,170,0,0,0,0,0,0,.2,0,0,0,.2,0,0,0,0
60044,171,1,1,1,1,.80000001,1,.2,1,0,1,0,1,0,.60000002,0
60044,173,.2,0,0,0,0,.2,.40000001,0,0,0,0,0,.2,0,.2
60046,153,0,.2,.2,.60000002,.60000002,0,.2,0,0,0,0,0,0,0,.2
60046,155,0,0,0,0,0,0,.2,0,0,0,.2,0,.2,0,0
60046,160,.80000001,.80000001,.60000002,.60000002,1,0,.2,.2,.2,0,0,0,0,0,0
60046,173,1,.80000001,.60000002,.60000002,.2,1,.2,.80000001,0,.60000002,0,.60000002,0,.2,0
60046,176,.60000002,.60000002,.80000001,.80000001,.80000001,.80000001,.2,.60000002,.2,.80000001,.2,.80000001,0,.80000001,0
60047,159,.80000001,1,1,1,1,.80000001,0,1,.2,.80000001,0,1,0,.2,0
60047,165,.2,.80000001,.80000001,.80000001,1,0,.2,0,0,0,0,0,0,0,0
60047,168,.60000002,0,.2,.2,0,0,.2,0,.2,0,0,0,0,0,0
60047,178,.40000001,.80000001,.60000002,.60000002,1,.40000001,.2,.80000001,.2,.60000002,0,.60000002,.2,1,0
60047,180,.2,.2,0,.2,.60000002,0,0,.2,0,0,0,.2,0,0,0
60055,151,1,1,.80000001,.60000002,1,.2,.2,.2,0,.40000001,.2,.2,0,1,0
60055,169,1,1,.80000001,1,1,.40000001,.2,.2,0,.40000001,.2,.40000001,0,0,.2
60055,173,1,1,1,1,.80000001,1,.2,1,0,1,.2,1,.2,.80000001,0
60055,175,.60000002,.80000001,.40000001,1,1,.40000001,.2,0,.2,0,0,.40000001,0,0,0
60055,176,1,1,1,1,1,1,.2,1,0,1,0,1,0,.80000001,0
60058,158,0,.2,0,.60000002,.80000001,0,.40000001,0,0,0,.2,0,0,0,0
60058,159,.80000001,.80000001,1,1,1,.80000001,.2,.80000001,0,.80000001,0,0,0,0,0
60058,166,1,.80000001,1,1,1,1,.2,.80000001,.2,.80000001,0,.80000001,0,.60000002,0
60058,167,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
60058,172,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
61006,156,1,1,1,1,1,.40000001,.2,1,0,1,0,.40000001,0,0,0
61006,168,0,.2,1,1,1,0,.2,0,0,0,0,0,0,0,0
61006,169,.80000001,1,1,1,1,.40000001,.40000001,.40000001,0,.2,0,.40000001,0,.2,.2
61006,173,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
61006,175,0,.2,1,1,1,0,.2,0,0,.40000001,0,0,0,0,0
61009,153,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
61009,160,.40000001,0,0,0,0,.40000001,.40000001,0,0,0,0,0,0,0,0
61009,164,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
61009,169,1,1,1,1,1,.60000002,.2,.2,0,.2,0,0,0,0,0
61009,179,.80000001,1,1,.80000001,.80000001,.2,.40000001,.60000002,.2,.40000001,0,.40000001,0,.60000002,0
61026,153,1,.80000001,.40000001,.40000001,.40000001,.60000002,.2,.2,0,0,.2,0,0,0,0
61026,154,0,0,.2,0,0,0,.2,0,0,.2,0,0,0,0,0
61026,159,1,1,1,1,1,0,.2,0,0,0,0,0,.2,0,0
61026,175,0,.40000001,1,1,.80000001,0,.2,.2,0,0,0,0,0,0,0
61026,177,0,.60000002,.40000001,.60000002,.40000001,0,.2,0,.2,0,0,.40000001,0,.2,0
61036,157,1,1,1,1,1,.2,.2,.2,0,.60000002,0,.60000002,0,.60000002,.2
61036,167,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
61036,170,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
61036,172,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
61036,174,1,1,1,.60000002,.60000002,.40000001,.2,.60000002,0,.40000001,0,.60000002,0,.40000001,0
61075,163,.40000001,.60000002,.40000001,.60000002,.40000001,.40000001,.2,.40000001,0,.40000001,0,.60000002,0,.40000001,0
61075,166,1,1,1,1,1,1,.2,1,0,.40000001,0,.40000001,0,.80000001,0
61075,169,1,1,1,1,1,0,.2,.2,0,.2,.40000001,.2,.2,.2,0
61075,172,.60000002,.80000001,.80000001,.2,.2,.2,.2,0,0,.2,.2,.2,0,0,0
61075,175,.60000002,.40000001,.60000002,.40000001,.60000002,0,.2,.40000001,.2,.2,0,0,0,.40000001,0
61116,158,.40000001,.80000001,1,.40000001,.80000001,.2,0,.40000001,0,.2,0,0,0,0,0
61116,160,.40000001,.40000001,.60000002,1,.80000001,0,.2,0,0,0,0,0,0,0,0
61116,161,0,0,.2,.2,.60000002,0,.2,0,0,0,0,.2,0,.60000002,0
61116,177,.80000001,1,.40000001,.2,.40000001,0,.2,0,0,0,0,0,0,0,0
61116,180,.60000002,.40000001,.40000001,.40000001,.2,.2,0,0,0,0,0,0,0,0,0
61117,153,.2,.80000001,.40000001,.80000001,.40000001,0,.2,.40000001,.2,.2,0,.2,0,0,0
61117,159,1,1,1,1,1,1,.2,1,0,1,0,.2,0,0,0
61117,166,1,1,1,1,1,1,.2,1,0,1,0,.40000001,.2,.40000001,0
61117,170,0,0,0,0,0,0,.40000001,0,0,0,0,0,0,0,0
61117,176,1,1,1,1,1,1,.2,1,.2,.80000001,0,.2,0,.2,0
70066,188,1,1,1,1,1,1,.2,1,0,1,0,.80000001,0,0,0
70066,194,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
70066,202,1,1,1,1,1,0,.2,0,0,0,.2,0,0,0,0
70066,207,1,.80000001,0,0,0,.2,.40000001,0,0,0,0,0,0,0,0
70066,210,1,.80000001,1,.80000001,.60000002,0,.2,.40000001,0,.2,0,0,0,0,0
70081,185,1,1,1,.80000001,.80000001,1,.2,1,0,.40000001,0,0,0,0,0
70081,189,0,.60000002,.40000001,0,.2,0,.2,0,0,0,0,0,0,0,0
70081,195,.40000001,0,0,.2,0,0,.40000001,0,0,0,0,0,0,0,0
70081,203,.2,0,.60000002,.40000001,0,0,.2,0,0,0,0,0,.2,0,0
70081,205,0,0,.80000001,.2,.40000001,0,.2,0,0,.60000002,0,0,0,.40000001,0
70095,181,.80000001,.80000001,.60000002,.80000001,.60000002,.80000001,.2,.80000001,.2,.60000002,.2,.80000001,0,.40000001,0
70095,182,.60000002,0,0,0,0,.2,.40000001,0,0,0,0,0,.2,0,.2
70095,192,.60000002,0,0,0,0,.60000002,.2,0,0,0,0,0,0,0,0
